@relation wine

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute Class {1,2,3}

@data
-596.840036465 ,-702.069573093 ,-1555.456505365 , 2
-794.855010737 ,-274.954042491 ,-2524.979025125 , 2
-3136.980475337 ,-1251.901586401 ,-5811.365893671 , 2
-2058.149576487 ,-935.738507503 ,-6454.164735408 , 2
-759.916196621 ,-781.547861954 ,290.862632725 , 2
-494.760268620 ,-950.259809651 ,-1204.647709084 , 2
-1225.271794447 ,-596.604037157 ,-3314.642558318 , 2
-1656.183827204 ,-1132.187575404 ,-5433.369102711 , 2
-1621.401688078 ,-875.327275847 ,-1766.668360398 , 2
-163.703448957 ,-412.879559325 ,-972.760221682 , 2
-2998.412762649 ,-1165.222920839 ,-4993.045255564 , 2
-644.860767482 ,-765.438345938 ,-1702.099031019 , 2
-1069.038919726 ,1200.302011274 ,5275.031693407 , 2
-637.009473498 ,-483.595724274 ,-4360.695605747 , 2
-462.607241073 ,-653.281978857 ,-2699.278779122 , 2
-648.902381823 ,-715.570885025 ,-1255.839967931 , 2
-811.385165888 ,-689.989098037 ,-2457.609056832 , 2
-1779.977700953 ,-798.568671363 ,-3657.591834860 , 2
-655.006846178 ,-714.494665067 ,-1610.008551085 , 2
-750.033723132 ,-738.413657307 ,-1716.314629017 , 2
-343.073055093 ,515.632159167 ,-752.423171330 , 2
-576.371592211 ,-295.340814014 ,-1104.474737860 , 2
-500.534539748 ,-468.219266389 ,-1047.048789569 , 2
-687.251968848 ,-553.287936273 ,-2246.117073860 , 2
-2997.031004015 ,-1262.360731000 ,-6146.849784614 , 2
-481.393614855 ,994.464350624 ,867.277870799 , 2
-774.899027678 ,-661.401014292 ,-1749.612296326 , 2
-1876.088804446 ,-1062.555002298 ,-3333.383550827 , 2
-1172.125118265 ,-679.242543944 ,-854.180934143 , 2
-3112.276915330 ,-1082.180597632 ,-4294.965177012 , 2
-752.869185622 ,-586.798903445 ,-2871.197200303 , 2
-1027.083694004 ,-344.221940800 ,-3536.426291858 , 2
-511.576482902 ,-438.017182149 ,-1411.686204859 , 2
-1781.948983779 ,-895.524612219 ,-4845.858038564 , 2
-501.654948822 ,-218.193880545 ,-2439.390999703 , 2
-1220.725495873 ,-765.987974615 ,-3789.910445323 , 2
-820.717182536 ,-83.834853583 ,-2224.830504092 , 2
-296.055821147 ,-330.469659707 ,-2001.836913361 , 2
-1399.300782765 ,-851.386905534 ,-2802.067909155 , 2
-3000.391035758 ,-619.915237137 ,-3216.437963207 , 2
-444.471825608 ,-415.837362703 ,-884.615774522 , 2
-2502.268578813 ,-1254.433963389 ,-4108.256939406 , 2
-306.254654824 ,-494.154350316 ,-1665.207738056 , 2
-445.077233150 ,-413.466535922 ,-2096.002487163 , 2
-395.292320341 ,-592.517633221 ,-681.499556309 , 2
-567.889627152 ,-443.708087690 ,-2268.393261826 , 2
-314.642364745 ,-443.735766995 ,-1248.934560452 , 2
-501.586271828 ,1218.946506722 ,1461.285316342 , 2
-1326.787786261 ,-959.386210308 ,-1279.272687282 , 2
-2525.638994842 ,-761.628090532 ,-4469.203194513 , 2
-1601.806140933 ,-654.804444246 ,-4125.835529425 , 2
-833.879170413 ,-490.199076119 ,-1332.117187711 , 2
-1797.811749175 ,-556.290714131 ,-1563.450235265 , 2
-1465.771347041 ,-452.578838934 ,-1644.821430978 , 2
-708.992028938 ,-510.027797941 ,-1726.660959881 , 2
-584.258845129 ,-283.174039859 ,-2091.919061613 , 2
-801.549356641 ,-291.410277445 ,-1714.169107649 , 2
-303.206539504 ,-359.101896579 ,-855.028368426 , 2
-2594.837796410 ,-419.315910152 ,-2694.821088707 , 2
1151.331621985 ,2296.165435923 ,38727.658007306 , 3
4740.912629998 ,8307.521126987 ,78386.742942424 , 3
6687.357938539 ,34645.374445850 ,115311.159828149 , 3
6516.310113890 ,7533.531634379 ,64764.163095607 , 3
24608.756402065 ,43578.576330246 ,512173.191881541 , 3
69205.131256316 ,67788.272657806 ,1184274.782702140 , 3
86031.779042366 ,51655.347434493 ,223896.950094838 , 3
33324.329906435 ,56677.524001221 ,183436.241243488 , 3
71689.065967807 ,71564.283387047 ,608598.987129509 , 3
17567.947434547 ,37806.997621429 ,183127.292020065 , 3
23733.997515402 ,60695.814127121 ,290467.175153340 , 3
56606.645697443 ,111067.757203038 ,834670.154690387 , 3
16688.228356271 ,38634.413221412 ,142209.179956363 , 3
10515.646494870 ,6379.203932973 ,57575.977218885 , 3
123665.212563462 ,92552.972534490 ,2356762.550227963 , 3
48938.381478172 ,83401.529747247 ,273433.440924242 , 3
109535.859432512 ,365981.703348404 ,743083.643673977 , 3
96962.473296834 ,322737.741676674 ,1699002.224020127 , 3
76312.325235188 ,255808.714574802 ,1864783.485279451 , 3
26816.576271018 ,63879.025848188 ,662380.862822183 , 3
9046.402156097 ,44667.309577158 ,308461.775792082 , 3
19806.218556706 ,181631.217315879 ,1364994.349535524 , 3
3717.871823251 ,55607.400105028 ,180585.591713006 , 3
142540.820462382 ,213185.049062681 ,5730863.305597272 , 3
46997.674028429 ,279520.774099407 ,2280044.936376039 , 3
210180.704522382 ,271994.521099987 ,2127080.224002931 , 3
54926.983913468 ,163916.171883177 ,1687821.562030225 , 3
132839.267944489 ,332224.279381245 ,1885013.422374599 , 3
24268.492860465 ,201862.096368237 ,3845796.758470659 , 3
30068.207127846 ,203158.159080590 ,3967642.894866412 , 3
31067.797686627 ,123261.126155784 ,603676.178861462 , 3
64736.998284690 ,29549.534879857 ,652779.786707298 , 3
26923.347189193 ,42614.228812181 ,350538.438788180 , 3
35355.478857669 ,40356.638525250 ,409838.148841817 , 3
92067.067805207 ,199006.361033369 ,2744277.581460957 , 3
94696.979970606 ,162814.534191765 ,909119.643066330 , 3
105135.842300703 ,64704.318025383 ,3263336.155304271 , 3
182831.125523809 ,171112.796857035 ,5424712.674681227 , 3
51931.786466324 ,104874.766568981 ,1560817.498876064 , 3
41787.281759552 ,109299.103740391 ,1085602.783384173 , 3
42584.307015655 ,124853.331178823 ,718909.543093472 , 3
107418.264564345 ,630694.959356748 ,6900595.250008971 , 3
99389.710903753 ,226401.021556083 ,4969051.899356883 , 3
212981.293495895 ,187344.758386835 ,2408960.573232007 , 3
85875.935455570 ,101455.343661963 ,1040905.168738741 , 3
349518.804072454 ,313509.193307612 ,9043788.972178645 , 3
169988.590388782 ,255543.525768331 ,6658925.616574615 , 3
77986.669532663 ,287171.571130617 ,2281077.375184170 , 3
